METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID;geo_point_2d
Twin;$6.00;$1.00;$6.00;$1.00;$6.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51325;"{""coordinates"": [-123.12492355036942, 49.264235309573436], ""type"": ""Point""}";Fairview;B80910;49.264235309573436, -123.12492355036942
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50651;"{""coordinates"": [-123.11463684761598, 49.25399946317143], ""type"": ""Point""}";Riley Park;D90439;49.25399946317143, -123.11463684761598
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52411;"{""coordinates"": [-123.13048330182252, 49.264436504075526], ""type"": ""Point""}";Fairview;B81137;49.264436504075526, -123.13048330182252
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50595;"{""coordinates"": [-123.11585880839336, 49.25422789224435], ""type"": ""Point""}";South Cambie;D90509;49.25422789224435, -123.11585880839336
Twin;$1.00;$4.00;$1.00;$4.00;$1.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61566;"{""coordinates"": [-123.13295852828477, 49.28996318050634], ""type"": ""Point""}";West End;121619;49.28996318050634, -123.13295852828477
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65330;"{""coordinates"": [-123.12467532455646, 49.289290022897234], ""type"": ""Point""}";Downtown;061236;49.289290022897234, -123.12467532455646
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51135;"{""coordinates"": [-123.13940796354616, 49.26457944883329], ""type"": ""Point""}";Fairview;B81511;49.26457944883329, -123.13940796354616
Twin;$1.00;$4.00;$1.00;$4.00;$1.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61649;"{""coordinates"": [-123.13257510548925, 49.28954089318926], ""type"": ""Point""}";West End;121604;49.28954089318926, -123.13257510548925
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61875;"{""coordinates"": [-123.12157035548594, 49.27773988272863], ""type"": ""Point""}";Downtown;591009;49.27773988272863, -123.12157035548594
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62389;"{""coordinates"": [-123.12206593646171, 49.277411494768806], ""type"": ""Point""}";Downtown;591021;49.277411494768806, -123.12206593646171
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61980;"{""coordinates"": [-123.12428943521918, 49.27962809232144], ""type"": ""Point""}";Downtown;621006;49.27962809232144, -123.12428943521918
Twin;$3.00;$5.00;$3.00;$5.00;$3.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64166;"{""coordinates"": [-123.13434570533431, 49.29086048098116], ""type"": ""Point""}";West End;121715;49.29086048098116, -123.13434570533431
Twin;$3.00;$5.00;$3.00;$5.00;$3.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64083;"{""coordinates"": [-123.1344761239473, 49.29094376843195], ""type"": ""Point""}";West End;121717;49.29094376843195, -123.1344761239473
Twin;$3.00;$5.00;$3.00;$5.00;$3.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65079;"{""coordinates"": [-123.13473026339298, 49.2911097030461], ""type"": ""Point""}";West End;121727;49.2911097030461, -123.13473026339298
Twin;$3.00;$5.00;$3.00;$5.00;$3.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64249;"{""coordinates"": [-123.13462671339126, 49.29086392291717], ""type"": ""Point""}";West End;121714;49.29086392291717, -123.13462671339126
Twin;$3.00;$5.00;$3.00;$5.00;$3.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61648;"{""coordinates"": [-123.13474808342778, 49.29094212933935], ""type"": ""Point""}";West End;121720;49.29094212933935, -123.13474808342778
Twin;$3.00;$5.00;$3.00;$5.00;$3.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64137;"{""coordinates"": [-123.13487207412797, 49.291023031123785], ""type"": ""Point""}";West End;121724;49.291023031123785, -123.13487207412797
Single;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;60093;"{""coordinates"": [-123.12509334169087, 49.27427258849621], ""type"": ""Point""}";Downtown;170402;49.27427258849621, -123.12509334169087
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;61841;"{""coordinates"": [-123.12662217269903, 49.27526205819785], ""type"": ""Point""}";Downtown;170514;49.27526205819785, -123.12662217269903
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;62390;"{""coordinates"": [-123.12662217269903, 49.27526205819785], ""type"": ""Point""}";Downtown;170516;49.27526205819785, -123.12662217269903
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54467;"{""coordinates"": [-123.10730040384773, 49.263154156451016], ""type"": ""Point""}";Mount Pleasant;300105;49.263154156451016, -123.10730040384773
Single Motorbike;$ .50;$ .50;$ .50;$ .50;$ .50;$ .50;$ .50;METER IN EFFECT: 9:00 AM TO 10:00 PM;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No;50497;"{""coordinates"": [-123.10753272543933, 49.263159733377556], ""type"": ""Point""}";Mount Pleasant;300197;49.263159733377556, -123.10753272543933
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;56997;"{""coordinates"": [-123.14584386475447, 49.26484246685285], ""type"": ""Point""}";Kitsilano;642317;49.26484246685285, -123.14584386475447
Twin;$1.00;$4.00;$1.00;$4.00;$1.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61735;"{""coordinates"": [-123.13283061404282, 49.289704509693976], ""type"": ""Point""}";West End;121610;49.289704509693976, -123.13283061404282
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65442;"{""coordinates"": [-123.12314699518689, 49.288997456801425], ""type"": ""Point""}";Downtown;061207;49.288997456801425, -123.12314699518689
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65721;"{""coordinates"": [-123.12385492435165, 49.289203139282705], ""type"": ""Point""}";Downtown;061221;49.289203139282705, -123.12385492435165
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;59949;"{""coordinates"": [-123.10880294451071, 49.26922688741575], ""type"": ""Point""}";Mount Pleasant;B20144C;49.26922688741575, -123.10880294451071
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63115;"{""coordinates"": [-123.13915096310492, 49.28544359757694], ""type"": ""Point""}";West End;161608;49.28544359757694, -123.13915096310492
